# This file contains a map between the DSID and the name of the histogram to be used by HistNameSvc
# Format: DSID / Name used in HistNameSvc / Description(not used anywhere) / etag / crossSection / kfactor / genFiltEff				
# WARNING 1: for samples with multiple e-tags the e-tag that should be used must be specified in the 4th column
# WARNING 2: if the columns 5-6 are filled the PMG cross-sections will be overwritten with those provided in this file
346344	                           ttH	                 PhPy8EG_A14NNPDF23_NNPDF30ME_ttH125_semilep	e7148	
506704	      AZH_vvbb_ggF_mA700_mH300	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA700_mH300	e8319	1.0	1.0            
506705	      AZH_vvbb_ggF_mA700_mH500	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA700_mH500	e8319	1.0	1.0            
506706	      AZH_vvbb_ggF_mA800_mH200	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA800_mH200	e8319	1.0	1.0            
506707	      AZH_vvbb_ggF_mA800_mH400	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA800_mH400	e8319	1.0	1.0            
506708	      AZH_vvbb_ggF_mA800_mH600	                       MGPy8EG_2HDM_AZH_vvbb_ggF_mA800_mH600	e8319	1.0	1.0            
506709	     AZH_vvbb_ggF_mA1000_mH200	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1000_mH200	e8319	1.0	1.0            
506710	     AZH_vvbb_ggF_mA1000_mH300	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1000_mH300	e8319	1.0	1.0            
506711	     AZH_vvbb_ggF_mA1000_mH500	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1000_mH500	e8319	1.0	1.0            
506712	     AZH_vvbb_ggF_mA1000_mH700	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1000_mH700	e8319	1.0	1.0            
506713	     AZH_vvbb_ggF_mA1200_mH200	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1200_mH200	e8319	1.0	1.0            
506714	     AZH_vvbb_ggF_mA1200_mH400	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1200_mH400	e8319	1.0	1.0            
506715	     AZH_vvbb_ggF_mA1200_mH600	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1200_mH600	e8319	1.0	1.0            
506716	     AZH_vvbb_ggF_mA1200_mH800	                      MGPy8EG_2HDM_AZH_vvbb_ggF_mA1200_mH800	e8319	1.0	1.0            
506717	      AZH_vvbb_bbA_mA500_mH200	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA500_mH200	e8319	1.0	1.0            
506718	      AZH_vvbb_bbA_mA500_mH300	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA500_mH300	e8319	1.0	1.0            
506719	      AZH_vvbb_bbA_mA600_mH200	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA600_mH200	e8319	1.0	1.0            
506720	      AZH_vvbb_bbA_mA600_mH400	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA600_mH400	e8319	1.0	1.0            
506721	      AZH_vvbb_bbA_mA700_mH200	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA700_mH200	e8319	1.0	1.0	     	
506722	      AZH_vvbb_bbA_mA700_mH300	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA700_mH300	e8319	1.0	1.0	     	
506723	      AZH_vvbb_bbA_mA700_mH500	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA700_mH500	e8319	1.0	1.0	     	
506724	      AZH_vvbb_bbA_mA800_mH200	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA800_mH200	e8319	1.0	1.0	     	
506725	      AZH_vvbb_bbA_mA800_mH400	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA800_mH400	e8319	1.0	1.0	     	
506726	      AZH_vvbb_bbA_mA800_mH600	                       MGPy8EG_2HDM_AZH_vvbb_bbA_mA800_mH600	e8319	1.0	1.0	     	
506727	     AZH_vvbb_bbA_mA1000_mH200	                      MGPy8EG_2HDM_AZH_vvbb_bbA_mA1000_mH200	e8319	1.0	1.0	     	
506728	     AZH_vvbb_bbA_mA1000_mH300	                      MGPy8EG_2HDM_AZH_vvbb_bbA_mA1000_mH300	e8319	1.0	1.0	     	
506729	     AZH_vvbb_bbA_mA1000_mH500	                      MGPy8EG_2HDM_AZH_vvbb_bbA_mA1000_mH500	e8319	1.0	1.0	     	
506730	     AZH_vvbb_bbA_mA1000_mH700	                      MGPy8EG_2HDM_AZH_vvbb_bbA_mA1000_mH700	e8319	1.0	1.0	     	
506731	     AZH_vvbb_bbA_mA1200_mH200	                      MGPy8EG_2HDM_AZH_vvbb_bbA_mA1200_mH200	e8319	1.0	1.0	     	
